time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.138049365289064e-07,-7.23021958713101e-08,10.00105926455805,6.283041894345111,0.0007363326277181059,0.0,-7.12125758087089e-05,-8.585866322679756e-06,0.03530799388375101,-0.007659928956515891,0.02954326466789526,0.0,414.6603035017175,417.24700334131336,416.1180456027688,415.4471307356653
0.12000000000000001,-2.3845325886740214e-05,-4.609380867155609e-06,10.002806886934454,6.282316997132046,0.0019975454750813526,0.0,-0.0008323739023068395,-0.0001915686100162477,0.022946380209946205,-0.02284670659681755,-0.007393720550645192,0.0,401.36372187705746,397.99800704645173,400.34275923144946,398.95887380492985
0.18,-0.00011517772793199772,-4.042382559218824e-05,10.00813648782162,6.280837568388112,0.001172507307354742,0.0,-0.0021493593598200453,-0.001154030796538417,0.1546974009829145,-0.028548453028131908,-0.031177783479297668,0.0,448.03222313206504,446.09470791220355,446.896180292622,446.43117813102344
0.23999999999999996,-0.00025820708439072557,-0.00015459903873468945,10.016867223728239,6.27973526910589,6.2823507020355756,0.0,-0.002454862988549162,-0.0027662490050231795,0.13632949421136586,-0.0033225343319109157,-0.0384383129976594,0.0,398.12625895990675,397.4609123640188,396.2590839615854,398.5707789628886
0.3,-0.00037828253798117694,-0.00039685260378557644,10.029241464286109,6.279406069337091,6.280353840864031,0.0,-0.0013172430691338064,-0.005336876539429141,0.2761205521250464,-0.010210480946761979,-0.02457090187527943,0.0,449.5596611127568,450.68124362575554,448.92111730922954,448.3620525860089
0.36000000000000004,-0.00040089783697651283,-0.0007880699209658252,10.046370232816736,6.278591551434481,6.279049509143933,0.0,0.000687907261576595,-0.007766957479258496,0.29483289888349656,-0.021336164890359756,-0.016604251559096395,0.0,411.1564372621587,411.8614639378418,409.7633691201045,408.7733817762587
0.4200000000000001,-0.0002603963654030371,-0.0013648275985567455,10.069458463314666,6.276752077226153,6.278369464293986,0.0,0.004088744318027021,-0.011616926729770554,0.4747154861336612,-0.06568430600836028,-0.002460816736632638,0.0,461.6349174816004,462.7495325548024,462.8997339484216,459.39650039809396
0.48000000000000015,7.130412208033596e-05,-0.002189525966156487,10.098105715458441,6.272787112942957,6.27811594764999,0.0,0.00698535197406738,-0.01622090522020708,0.4801877632490657,-0.06689133858312027,-0.008011090177286255,0.0,406.8043819988113,406.3072383022853,405.6060412280984,405.4939382727445
0.5400000000000001,0.0005948840787604642,-0.0033881770582557566,10.12949450449386,6.268855772910804,6.2773348411457945,0.0,0.010527563299741466,-0.024130488521082613,0.566061007250576,-0.0629172456818303,-0.0256153319247445,0.0,433.22545583415604,431.74301586878266,432.6883276939191,433.01940709283235
0.6000000000000002,0.0013700029356146434,-0.0051884094334537795,10.169239940625955,6.264834593884228,6.27609005627567,0.0,0.015468355086480111,-0.036324867400411825,0.7586702825981726,-0.07683364014680634,-0.01245310437721679,0.0,465.4626368647205,466.4914242763638,466.0704587704027,464.97846476442237
0.6600000000000003,0.0024595632805063045,-0.007796559881686252,10.219414163401234,6.260014174879299,6.275296269576646,0.0,0.020934329618818744,-0.051129517977182605,0.9136810482634816,-0.08847891452043159,-0.014830174874076823,0.0,454.35860909725886,454.1681416073242,455.56168281821647,454.6245936537403
0.7200000000000003,0.0039055726971507303,-0.011433609233298473,10.280166896339125,6.2551822333562335,6.2744953411673805,0.0,0.027362863618479085,-0.07068776561493806,1.1112227640190804,-0.06810647727899882,-0.01053955039097974,0.0,467.9397575086986,468.2737242056726,466.63069027146355,468.2130598467197
0.7800000000000004,0.005752620788046793,-0.016346133637046744,10.352510333842872,6.25091670169958,6.274084183883993,0.0,0.03426274659087705,-0.09353748473117603,1.3000138304157483,-0.07785149190838837,-0.0003446749047053008,0.0,465.86626338866836,466.6627490465708,465.25146071920784,464.4842580721619
0.8400000000000004,0.008018977492086007,-0.022725872157562412,10.436005720192282,6.246275466469189,6.2743287625819395,0.0,0.04126623397857447,-0.11964545446637773,1.4829269345071676,-0.07637746858069186,0.011708190426321957,0.0,463.74421412979945,464.68983631630056,464.26464771817774,464.37580383461017
0.9000000000000005,0.010680183367961161,-0.030705812043840083,10.528527834495115,6.24168744877019,6.274864036510081,0.0,0.04737361901267229,-0.14682685425728972,1.600965573543926,-0.07664644522084887,0.0026658591068658317,0.0,446.4635725747862,445.725153382827,443.78414042681476,443.7574311780159
0.9600000000000005,0.013733185265073576,-0.04059069291951699,10.632295224810495,6.2367570184401835,6.274869819897194,0.0,0.05437874996966485,-0.1832456560735109,1.8575379084001877,-0.09650717538308085,-0.00561437971346753,0.0,487.11036565844574,486.49081982078,487.36444823911614,485.87283898024214
1.0200000000000005,0.017233445483435268,-0.05293064999112678,10.754402473314101,6.231559189764653,6.274323855599146,0.0,0.0623514481583212,-0.22881748509045466,2.212045096460644,-0.07192428645766384,-0.01718532368682254,0.0,515.043720297369,514.2248964475066,514.0783131293042,515.8117970570831
1.0800000000000005,0.02113646978269421,-0.06759766992215249,10.887330989252627,6.227195811429347,6.273120021153209,0.0,0.06784721512681145,-0.2604659544114412,2.2188663839115432,-0.07436924455217744,-0.026551544341828496,0.0,412.68703840132304,411.8594828147348,410.91697684869837,410.69561077843036
1.1400000000000006,0.025371128744974245,-0.08412415502079938,11.018593207905875,6.223051106231129,6.27127493479712,0.0,0.07344221488036969,-0.29075907940850304,2.1566354869682782,-0.06017970657030841,-0.0408540532650786,0.0,388.6525134333628,387.3091895195809,386.4160404782148,387.74684120385473
