time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.19999999999999998,0.988881466176,0.988871999405,5.79339113039,6.27433822505,6.2426175846,0.0,4.89025929891,4.88937638978,2.95988151611,-0.104285999023,-0.815000781138,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,9.93438601623
0.4000000000000001,1.95681586592,1.9560198519,6.18467027632,6.23781543386,6.07928963717,0.0,4.79131571865,4.78259640242,0.966005299814,-0.29879083732,-0.81861025556,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,19.8435167671
0.6000000000000002,2.90561144953,2.90224112856,6.18240894725,6.17545063732,5.9143535775,0.0,4.69621281958,4.68071975666,-0.981623116494,-0.328093443562,-0.832031150233,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,29.7317778157
0.8000000000000004,3.83404523907,3.82903360154,5.7936649139,6.10981387646,5.75000147117,0.0,4.58309726489,4.58929627357,-2.90107074002,-0.328291922252,-0.809779913082,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,39.6034591476
1.0000000000000004,4.73589790779,4.73879602043,5.02433631851,6.04471667541,5.59046179319,0.0,4.42657577355,4.50983588042,-4.78400719534,-0.322110713851,-0.783653403466,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,49.462809487
1.2000000000000006,5.60085971826,5.63303442316,3.88474049041,5.98101931341,5.43606597625,0.0,4.21403318582,4.43082501836,-6.59680843145,-0.314134525566,-0.758385326702,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,59.3140640616
1.4000000000000008,6.41865713401,6.50937150244,2.39317816509,5.91947881791,5.28662356123,0.0,3.9594130461,4.32543770328,-8.2975778478,-0.300022812911,-0.734178242812,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,69.1614234644
1.600000000000001,7.18452377614,7.35907871119,0.575036123962,5.86223165752,5.14217309537,0.0,3.70192505005,4.15898045271,-9.86124619958,-0.270025590403,-0.70835280874,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,79.0089975509
1.8000000000000012,7.90449997819,8.1666587265,0.0,5.82599954996,5.00464753027,0.0,3.50641405707,3.90223443546,-11.2876980424,-0.0909234579682,-0.663897758612,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,88.8545342562
0.19999999999999998,0.988881531487,0.988871725931,5.79336728171,6.27407865268,6.24262096111,0.0,4.89025875465,4.88936936879,2.95965362868,-0.107549902784,-0.814650456128,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,9.93438610975
0.4000000000000001,1.95681545551,1.95601558617,6.18460255103,6.23675022096,6.07920166669,0.0,4.79130974423,4.78255788951,0.965795411073,-0.304199586265,-0.820038963633,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,19.8435173645
0.6000000000000002,2.90560871506,2.90222667981,6.18230650502,6.17323288763,5.9138197848,0.0,4.69618147256,4.68066761748,-0.981781098851,-0.33430900296,-0.835242765787,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,29.7317793989
0.8000000000000004,3.83401916892,3.82901883469,5.79352521421,6.10622826352,5.74877599276,0.0,4.58285864776,4.58937070412,-2.90126774837,-0.335887601094,-0.813521393698,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,39.6034622415
1.0000000000000004,4.73578492219,4.73881634558,5.02417707179,6.03945955444,5.58849305106,0.0,4.42592772255,4.51009225864,-4.78390473229,-0.331381166554,-0.787342768787,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,49.4628147899
1.2000000000000006,5.60058322424,5.63308983177,3.88469283291,5.97378506177,5.43340062582,0.0,4.21312524302,4.43076115839,-6.59566629734,-0.324755170742,-0.761635669719,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,59.3140720536
1.4000000000000008,6.41823979434,6.50926253351,2.39350336967,5.909939463,5.28335982878,0.0,3.95912314374,4.32350057013,-8.29502779443,-0.312617833955,-0.736877273469,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,69.1614338031
1.600000000000001,7.18424098571,7.35817153225,0.575920926213,5.84995038552,5.13844334159,0.0,3.70381859125,4.15239415968,-9.85865749197,-0.285015732405,-0.710265274076,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,79.0090100842
1.8000000000000012,7.90489382181,8.16365708015,0.0,5.80958292179,5.0006083241,0.0,3.51139687605,3.88712044666,-11.2898559059,-0.116523426458,-0.665047129742,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,88.854563685
0.19999999999999998,0.988882184892,0.988871860375,5.79334200074,6.27417446775,6.24267012732,0.0,4.89026427046,4.88937272271,2.95940129642,-0.106343572336,-0.80965546454,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,9.93438620396
0.4000000000000001,1.95681387318,1.95601756512,6.18451339048,6.23714704183,6.08049397287,0.0,4.79126789343,4.78257552247,0.965423449671,-0.302154298825,-0.812354773004,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,19.8435180324
0.6000000000000002,2.9055900528,2.90223365691,6.18213448309,6.17404583905,5.91675173866,0.0,4.69604151165,4.68070019109,-0.982270884213,-0.332184045992,-0.826414673833,0.0,444.6410287890753,443.2772103934666,448.05724014267,444.53360553907123,29.7317814446
